ensemble_id,inducers,inducers_spec,dataset,test_accuracy,test_f1,ensemble_type
ensemble_17,"('target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8635714285714285,0.5164556962025316,best-F1_three-model
ensemble_18,"('target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8578571428571429,0.5110565110565112,best-F1_three-model
ensemble_16,"('target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8485714285714285,0.5069767441860464,best-F1_three-model
ensemble_10,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03')",iSarcasm_test,0.8614285714285714,0.5025641025641027,best-F1_three-model
ensemble_11,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-fine')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03')",iSarcasm_test,0.8557142857142858,0.5024630541871922,best-F1_three-model
ensemble_12,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8692857142857143,0.4986301369863014,best-F1_three-model
ensemble_4,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-SARC', 'target-iSarcasm_inter-XED-binary')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-SARC_01', 'target-iSarcasm_inter-SARC_02', 'target-iSarcasm_inter-SARC_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03')",iSarcasm_test,0.8507142857142858,0.4914841849148418,best-F1_three-model
ensemble_14,"('target-iSarcasm_inter-HellaSwag', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-HellaSwag_01', 'target-iSarcasm_inter-HellaSwag_02', 'target-iSarcasm_inter-HellaSwag_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8664285714285714,0.49046321525885567,best-F1_three-model
ensemble_19,"('target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-XED-fine', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-XED-fine_01', 'target-iSarcasm_inter-XED-fine_02', 'target-iSarcasm_inter-XED-fine_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8485714285714285,0.4903846153846154,best-F1_three-model
ensemble_8,"('target-iSarcasm_inter-IMDB', 'target-iSarcasm_inter-XED-binary', 'target-iSarcasm_inter-CosmosQA')","('target-iSarcasm_inter-IMDB_01', 'target-iSarcasm_inter-IMDB_02', 'target-iSarcasm_inter-IMDB_03', 'target-iSarcasm_inter-XED-binary_01', 'target-iSarcasm_inter-XED-binary_02', 'target-iSarcasm_inter-XED-binary_03', 'target-iSarcasm_inter-CosmosQA_01', 'target-iSarcasm_inter-CosmosQA_02', 'target-iSarcasm_inter-CosmosQA_03')",iSarcasm_test,0.8564285714285714,0.48854961832061067,best-F1_three-model
